group_id,post_id,comment_id,text,likes
33654179,2916341,2916344,"9 - юджун vs сонмин vs даыль vs синсин. из четверки претендентов зрители выбрали, на мой взгляд, самого слабого. но я сама виновата, что не заложила квартиру ради дебюта майкла у, и мои фавочки ниже. но даыль мне искренне нравится, он неплохо справляется, вроде, и приятный мальчик.
8 - донхва заслужил место в группе. не хочу ни с кем спорить, у меня есть свой взгляд на ситуацию. свети ярко ❤ радует, что он может уйти в песенники, если группа провал.
7 - дзай - одна из моих самых больших человеческих симпатий на шоу. комфортнейший кот, превращающийся в харизматика на сцене 🔥
6 - хангель. я не хотела этого по понятным причинам - группа пахнет флопом. но я все равно рада, что он в очередной раз показал, чего стоит.
5 - пентор - моя самая большая любовная любовь. радует, что ему есть куда возвращаться, если тут дела не пойдут. я так рада, что это наконец-то таец! счастлива, что узнала о таком талантливом чудесном парне.
4 - синче. без комментариев.
3 - шихуан. это вообще кто? но деньги его фанатов лишними не будут.
2 - джунхеки. мой прекрасный принц, заслуживающий всего мира. ❤ социальная бабочка, влюбивший всех вокруг в себя. такой поддерживающий и многогранный парень, наблюдать за его взаимодействиями с другими и выступлениями было моей любимой частью шоу!
1 - цзыхен. заслужил, очень талантливый и трудоспособный. как личность не нравится, но и не мне с ним жить. группе имеено такой центр и нужен, факт.

название не кринж, уже радует. состав хорош. шоу местами неплохо (дружба конкурсантов вывозила), но в целом - дешманска скукота... если бы знала, не тратила время. да и финал такой жалкий и тихий получился, аж смотреть неловко было. и реакция участников новообразования друг на друга... это ор, если присмотреться. project 7 куда интереснее было смотреть. 

я бы крепко задумалась на месте многих конкурсантов, когда 2 главных пиков сбежали, роняя тапки. но пути назад уже нет 🙃 линци там, кажется, чуть не молился, чтобы в группу не попасть. я безумно рада, что fantasy boys никого не потеряли, и надеюсь на новую главу их карьеры 💪🏼 мне показалось, что именно на sb парни радовались тому, что не прошли в финальную группу.

за синсина рада. видно было, как ему буква ю и он не хочет в состав. но мне грустно с ним прощаться, к сожалению, китайские айдолы меня не интересуют (

группа хоть и будет за счет китайских фанатов держаться, но на успех не рассчитываю, если честно. жаль потраченное время мальчиков. но я буду рада ошибиться. 

хикари, майкл и джунхо должны были стоять в числе финалистов, они достойны были хотя бы этого.

ли сокен - богиня, ее голос и манера речи просто рай. так нравилось наблюдать за ее эмоциями во время выступлений ребят в разных выпусках 🥹",8
33654179,2916336,2916354,"Надеюсь он выпустит свои песни, очень люблю его творчество он слишком талантлив",15
33654179,2916336,2916393,Я думала ещё лет 10 ждать второй альбоме🤧 очень жду ♥️,2
33654179,2916336,2916340,"УРАААА, НА ЭТОТ РАЗ ТОЧНО ВЫЙДЕТ. 
А ТО ТОГДА НАШЕГО СЛОНИКА ЗАБРАЛИ АРМИЮ ВНЕЗАПНО,А ПЛАНАХ БЫЛО  ВЫПУСТИТЬ АЛЬБОМ",0
33654179,2916336,2916509,"Оу, так быстро~",0
33654179,2916336,2916545,"Уже, быстро он",0
33654179,2916291,2916293,«пытаясь соблазнить» ч т о,200
33654179,2916291,2916295,"джемин и менеджер лучшие, дали деньги на такси, чтобы оп и её знакомая не мёрзли на улице 😣",115
33654179,2916291,2916297,"Корейцам явно стоит писать стабильно фанфики, а то видеть буквально в таких незначительных вещах СТОЛЬКО...

Он же сам реально согласился, она же не настаивала, а просто спросила.",80
33654179,2916291,2916302,"она красивая и ей нереально повезло! остальное простая зависть его фанатов, иу)",64
